experiment,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9
tuning_agnews_der_adapter_c16,16623,32500,48033,48047,48014,48056,47752,48007,48020,48005
tuning_agnews_der_adapter_c8,16779,32740,48238,48242,48186,48182,47922,48081,48114,48142
tuning_agnews_der_lora_r4_a16,17113,32745,48004,47923,47879,47834,47922,48354,47899,47883
tuning_agnews_der_lora_r4_a8,17079,32726,48108,47919,47885,47810,47817,47890,47857,47857
tuning_agnews_der_lora_r8_a16,17028,32753,48144,48053,47953,47961,47885,47975,47939,47922
tuning_agnews_der_lora_r8_a8,17052,32739,48272,48189,48091,48129,47987,48032,48025,47969
tuning_agnews_der_prefix_p10,16944,32587,47184,47123,47114,47049,46968,46950,46946,46967
tuning_agnews_der_prefix_p20,17323,33580,48102,48111,48030,48021,48045,48030,48031,48042
tuning_agnews_sd_adapter_c16,16769,32621,48129,48105,47985,48007,47727,47988,47949,47956
tuning_agnews_sd_adapter_c8,16903,32871,48403,48340,48254,48266,47900,48190,48256,48269
tuning_agnews_sd_lora_r4_a16,17165,32906,48432,48317,48209,48171,48058,48130,47992,47885
tuning_agnews_sd_lora_r4_a8,17061,32759,48085,47893,47879,47868,47803,47892,47884,47874
tuning_agnews_sd_lora_r8_a16,17010,32580,48275,48179,48141,48161,48024,48081,47966,47942
tuning_agnews_sd_lora_r8_a8,17072,32823,48247,48071,48044,47911,47850,47976,47927,47896
tuning_agnews_sd_prefix_p10,16903,32594,47039,47014,47035,46987,46960,46946,46929,46939
tuning_agnews_sd_prefix_p20,17349,33580,48134,48152,48138,48111,48102,48046,48098,48052
tuning_agnews_sds2_adapter_c16,16764,32802,32913,32906,32856,32840,32526,32762,32769,32749
tuning_agnews_sds2_adapter_c8,16832,33125,33247,33143,33066,33020,32717,32975,32917,32921
tuning_agnews_sds2_lora_r4_a16,17079,33020,33274,33159,33090,32987,32954,33015,32977,32934
tuning_agnews_sds2_lora_r4_a8,17058,33015,33295,33193,33048,32941,32932,33017,33041,33283
tuning_agnews_sds2_lora_r8_a16,16987,32922,33225,33116,33044,32957,32925,32984,32908,32887
tuning_agnews_sds2_lora_r8_a8,16959,32906,33205,33081,33004,32871,32862,32923,32986,32937
tuning_agnews_sds2_prefix_p10,16860,32938,33193,33165,33179,33102,33064,33033,32982,33191
tuning_agnews_sds2_prefix_p20,17293,33877,34044,34063,34043,34044,34004,33950,34003,33967
