experiment,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9
tuning_sensation_der_adapter_c16,4,18616,18464,18273,18199,17886,17817,17514,17428,17272
tuning_sensation_der_adapter_c8,3,18840,18590,18415,18203,18050,17863,17741,17579,17312
tuning_sensation_der_lora_r4_a16,3,18737,18562,18429,18206,18004,17791,17626,17470,17295
tuning_sensation_der_lora_r4_a8,3,18714,18649,18368,18206,18008,17816,17635,17435,17283
tuning_sensation_der_lora_r8_a16,3,18674,18539,18299,18227,17979,17753,17571,17442,17260
tuning_sensation_der_lora_r8_a8,3,18721,18534,18352,18145,17994,17793,17623,17497,17297
tuning_sensation_der_prefix_p10,3,20162,19924,19727,19510,19319,19087,18911,18720,18522
tuning_sensation_der_prefix_p20,3,21093,20852,20648,20397,20186,20012,19747,19537,19303
tuning_sensation_sd_adapter_c16,3,18629,18475,18266,18104,17889,17697,17498,17358,17159
tuning_sensation_sd_adapter_c8,3,18688,18506,18378,18169,18000,17773,17595,17452,17242
tuning_sensation_sd_lora_r4_a16,6,18852,18676,18475,18304,18106,17966,17756,17561,17404
tuning_sensation_sd_lora_r4_a8,3,18715,18539,18384,18214,17988,17821,17672,17518,17252
tuning_sensation_sd_lora_r8_a16,3,18744,18606,18429,18221,18055,17844,17607,17442,17340
tuning_sensation_sd_lora_r8_a8,3,18691,18564,18342,18199,18035,17831,17618,17455,17255
tuning_sensation_sd_prefix_p10,3,20145,19752,19545,19353,19121,18933,18749,18561,18371
tuning_sensation_sd_prefix_p20,6,21154,20861,20661,20438,20238,20018,19797,19658,19363
tuning_sensation_sds2_adapter_c16,3,18667,18497,18327,18210,17977,17932,17643,17386,17311
tuning_sensation_sds2_adapter_c8,3,18668,18473,18320,18284,17978,17894,17656,17381,17228
tuning_sensation_sds2_lora_r4_a16,3,18360,18172,18069,17842,17654,17524,17313,17083,16942
tuning_sensation_sds2_lora_r4_a8,3,18381,18194,18035,17858,17653,17498,17273,17098,16916
tuning_sensation_sds2_lora_r8_a16,3,18598,18529,18301,18131,18011,17794,17570,17367,17134
tuning_sensation_sds2_lora_r8_a8,4,18894,18763,18536,18342,18139,17970,17769,17604,17379
tuning_sensation_sds2_prefix_p10,3,20129,19711,19620,19381,19143,18971,18789,18553,18373
tuning_sensation_sds2_prefix_p20,4,21080,20811,20624,20539,20212,19986,19781,19573,19359
