experiment,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9
tuning_trec_der_adapter_c16,13920,26977,39940,39966,39925,39949,40124,39881,39849,39865
tuning_trec_der_adapter_c8,14044,27193,40155,40116,40046,39994,40151,40105,39974,39916
tuning_trec_der_lora_r4_a16,14088,27078,39889,39903,39854,39828,39831,39904,39916,39941
tuning_trec_der_lora_r4_a8,14080,27064,39979,40013,39921,39884,39859,39910,39909,39898
tuning_trec_der_lora_r8_a16,14034,26988,39861,39887,39846,39833,39842,39883,39871,39911
tuning_trec_der_lora_r8_a8,14041,26988,39864,39873,39867,39831,39818,39884,39873,39888
tuning_trec_der_prefix_p10,14083,27169,39086,39159,39189,39180,39206,39160,39242,39148
tuning_trec_der_prefix_p20,14521,27947,40006,39983,39990,39976,39959,39916,39972,39914
tuning_trec_sd_adapter_c16,13863,26884,39832,39922,39773,39747,39951,39989,39689,39700
tuning_trec_sd_adapter_c8,14058,27158,40109,40125,40110,40033,40198,40034,39999,40007
tuning_trec_sd_lora_r4_a16,14143,27070,39920,39959,39876,39848,39816,39848,39787,39756
tuning_trec_sd_lora_r4_a8,14014,26991,39772,39853,39760,39716,39682,39728,39639,39658
tuning_trec_sd_lora_r8_a16,14054,27016,39847,40103,39879,39877,39841,39895,39939,39908
tuning_trec_sd_lora_r8_a8,14067,27033,39903,40005,39879,39851,39821,39922,39882,39859
tuning_trec_sd_prefix_p10,14094,27036,39146,39117,39164,39148,39119,39159,39078,39104
tuning_trec_sd_prefix_p20,14529,27895,39984,39980,39960,39997,40174,39945,39984,39963
tuning_trec_sds2_adapter_c16,13876,27293,40479,40852,40806,40793,40969,40701,40696,40691
tuning_trec_sds2_adapter_c8,14055,27440,40767,40934,40921,40877,41067,40886,40856,40835
tuning_trec_sds2_lora_r4_a16,14096,27342,40425,40798,40764,40725,40743,40788,40766,40691
tuning_trec_sds2_lora_r4_a8,14065,27329,40559,40784,40788,40755,40715,40760,40789,40775
tuning_trec_sds2_lora_r8_a16,14043,27326,40440,40767,40742,40696,40694,40750,40765,40756
tuning_trec_sds2_lora_r8_a8,14094,27313,40454,40814,40738,40748,40716,40771,40799,40816
tuning_trec_sds2_prefix_p10,14081,27488,39731,40043,40019,40058,40029,39982,39999,39965
tuning_trec_sds2_prefix_p20,14434,28177,40525,40811,40803,40808,40760,40749,40721,40704
